video_id,label
r026ZaRhLjE,High engagement
9S_Y60CwVsA,Low engagement
pGZuPqmDT7w,Low engagement
6vBA6u7DQwg,Low engagement
yWnVtSLjawI,Low engagement
Es5itwTKIGQ,Medium engagement
F-sy8cvhZQg,High engagement
lzuZal_pep8,Low engagement
3A1QtrknkV4,Medium engagement
rAjvT6_DCgg,Medium engagement
049V8U3oDN8,Low engagement
zbvetChUj9c,Low engagement
XQb4dzN6iCY,Medium engagement
F4Zrm9H2lgI,Medium engagement
2lRlDpC49VI,High engagement
Rqe3PM20gq0,Medium engagement
lhZXeBm2ST0,Low engagement
IqmbrdBrNuI,Medium engagement
eHdzyC7AGmM,Low engagement
OO8gcN5amow,Medium engagement
_TUoGypvpgg,High engagement
JnkEF_E4WaI,Low engagement
ohqtza4TXQ0,Medium engagement
1H6SuGePlFo,High engagement
qXxm5EZhn58,Medium engagement
cK5sh2M0TWA,Low engagement
7GDAC7e2vPU,Low engagement
5jDUtsFDVtg,Low engagement
y1mAtjwLcH0,Low engagement
hnPDURj65M4,High engagement
34y8hvU8wRA,Medium engagement
8WeLMbYWZrw,Low engagement
7InjEFF8HJA,Low engagement
PZ-M_mjHIYA,Medium engagement
NA5ogjbajwQ,Low engagement
21XdeKOtJXs,Low engagement
ux07SQUUNtE,Medium engagement
pXepvUC1yM4,Low engagement
msTMLREShN4,Low engagement
8YYtDyTTAlg,Low engagement
uCMyWQbFD7o,Low engagement
KoXSai2cpVs,Low engagement
lQr7FwcXABE,Low engagement
oSA3pBxGAJM,High engagement
xDYV8KfAIpo,Low engagement
Lm7AgW5npbI,Low engagement
7sL6pT0Ge1o,Low engagement
6mzDez8HWy4,Low engagement
RD7_cK0_doo,High engagement
I4N-ZQwj5Pg,Low engagement
Sey_vEmq0vk,Medium engagement
UW1gZzjOFaw,Low engagement
ZIXl3vbDbZs,Low engagement
O5ZLpv_9v24,High engagement
uVl1F7n8qXY,Low engagement
epcVjF54xys,Medium engagement
fOMijy1FawA,Medium engagement
aFCR0jp_oSg,Medium engagement
xcThie4gnUI,Medium engagement
nloRZzURUos,Low engagement
-7LSYJo1Kwg,Low engagement
2yo7_8uK7a8,High engagement
9oWijcum75s,Low engagement
MNFA0ZmNZsc,Medium engagement
rm1D-OcMivw,Low engagement
ArijG-7ZfIk,Medium engagement
8iqvEBtdEfE,Medium engagement
pGpN4zRatys,Medium engagement
TV2qpDCoW7o,Low engagement
oCsOELR3Ss0,Medium engagement
OTzX5ExGVww,Medium engagement
VNwWO65Qrnc,Low engagement
ZeO0HdndbWc,Medium engagement
XTJoL3QkZzA,Low engagement
GeDXFioZV2U,Low engagement
11bnTROE1iM,Medium engagement
ywkaBz64_r0,Medium engagement
Gf-Hpe8PN2g,Medium engagement
DCOlkoHGTx8,Medium engagement
Pmx2-HaYGDA,Medium engagement
4as4_fyd-oY,Low engagement
Fwrl8wqBjTc,High engagement
-2Zph913hnA,Medium engagement
AP8MZrq8IT0,Low engagement
D8zwyv1wh5A,Medium engagement
iO7ifuoqDQE,Medium engagement
jVbpJY1rd34,Low engagement
JMxp36V_Cd0,Medium engagement
6TeD7Otpn0s,Low engagement
EvvJbojrgdU,Medium engagement
ggKqwIaVsK0,Medium engagement
qjO_TFwfJuo,Medium engagement
oVO2CsWN_cE,High engagement
rFqDKlVxH1A,Low engagement
oB5Q9qjz2ik,Low engagement
ATHdMa1Fez4,High engagement
SqKlvoa13xo,Medium engagement
GmzooFupub8,Low engagement
DmkL5nNlZ9U,Medium engagement
aaV4Pvs1rZ0,Low engagement
dyYwQ9tJekw,Low engagement
CwSbn9y6410,Low engagement
jDarL2XYKfU,Low engagement
G2F2XyIFY9Q,High engagement
VW7h5arkxuE,Low engagement
VD0x2Kh2jaU,Low engagement
m9RtJ4uupVI,Low engagement
Vb56dVqGLmI,Medium engagement
HfOVMBb7pPY,Medium engagement
CXLmhbqCFp8,Medium engagement
sckmDbRpl6M,Medium engagement
v40k8_Ughog,High engagement
MiHOv6EWbSY,Low engagement
FBUMw4UhYCw,Low engagement
Pe-c0uKa0YA,Medium engagement
uBp53x9Qth8,Low engagement
GUOj23QYFrI,Medium engagement
NnGrQuCeYVU,Medium engagement
OI5X5BBUepQ,High engagement
vRcDheX53oY,Medium engagement
Qvyv_sWLzX0,Low engagement
HbvIkpnP-Jk,Low engagement
ulaX50Bjjlw,Low engagement
l9Qr_fXYDgg,Low engagement
BQk4NmRwdNg,Low engagement
mb-5Y2DgG8M,Medium engagement
0Zi4ylrRLlk,Medium engagement
VdElcVTK-_4,Low engagement
yvkoys13nww,Low engagement
zh9mWqE0tA0,Low engagement
wiswlt_DWSw,Medium engagement
2EvUuc60uzw,Low engagement
ZdMofUFzHoM,Medium engagement
1jROm7sefiI,Low engagement
jC7m4tjEx9g,Medium engagement
p-DykpEPlUg,Low engagement
_cWNo8YgEFY,Low engagement
Ibd1Z3tNDSw,Low engagement
ain9lyy7mfU,Low engagement
kHpxHuWpEwI,Low engagement
n9yUe1Q4M2Y,Low engagement
tOWYkkZ821w,High engagement
3cqklBkbads,Medium engagement
pPPdNB0_PS0,Medium engagement
SsSOkL0Ukcw,High engagement
jauUoBvyVps,Medium engagement
0AVNQcEQKhY,Medium engagement
fyiKtFyo2yo,Low engagement
Z9C5B70R2R8,Low engagement
Ex4Qa-KVfz8,Low engagement
4pbwtVfktXE,Low engagement
hYN-gTu_ARQ,High engagement
SMAbPCMnO60,High engagement
YkHduCC5sUM,Medium engagement
m6gHvgqfvWo,High engagement
IVKWBer-Sxs,Low engagement
t2AJSYm1QnI,Low engagement
gA7eJ0QAw-U,Medium engagement
66WoPDXGOVM,Low engagement
6PDxgQEtKps,Low engagement
