video_id,view_count,like_count,dislike_count,comment_count,likes_rate,comments_rate,q_score,num_unique_users_liked_comments,duration,day_updoad,month_upload,year_upload,title,title_length,transcript,transcript_length,channel_id,level_channel,category_channel,label,upload_date_by_month
pRNKwV9iNYs,10694315,171179,5012,8720,16.00654179,0.81548,0.943101843,692.0,32.5,22,7,2019,FAPtv Cơm Nguội: Tập 199 - Tình Bạn Và Tình Yêu,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-07-01
dVvslK05bIA,14351392,177725,6481,7464,12.38381615,0.5201586020000001,0.929628081,690.0,51.58333333333334,29,9,2019,FAPtv Cơm Nguội: Tập 206 - Chuyện Tình Chàng Quay Phim,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-09-01
EzUtfm8xAeE,18321883,188976,8590,6271,10.31422371,0.3423228929999999,0.913037096,670.0,52.75,24,11,2019,FAPtv Cơm Nguội: Tập 210 - Tình Yêu Không Cần Tiền,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-11-01
mYlV1ZjKYVM,32070609,305022,17089,11591,9.510951289,0.361421263,0.893890945,668.0,53.65,13,9,2019,FAPtv Cơm Nguội: Tập 205 - Hắc Bạch Công Tử,10,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-09-01
S5lH3PAMZn0,16713944,202053,7824,7402,12.08888818,0.442863755,0.925437635,635.0,44.68333333333333,20,5,2019,FAPtv Cơm Nguội: Tập 196 - Bạc Phận,8,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-05-01
g0DQf2cfnBw,25885693,186913,12418,10144,7.220706821,0.391915333,0.875398832,623.0,45.45,3,6,2018,FAPtv Cơm Nguội: Tập 168 - Ba Người Cha,9,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-06-01
fKCWe-MIDc4,22042644,175015,9090,12643,7.939836981,0.5736153970000001,0.901247108,620.0,30.2,17,6,2018,FAPtv Cơm Nguội: Tập 169 - Chuyến Đi Của Thanh Xuân,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-06-01
XU8Gp50gxJU,16823195,136635,7691,8815,8.121822282,0.523978947,0.8934156459999999,619.0,33.68333333333333,17,3,2018,FAPtv Cơm Nguội: Tập 156 - Cú Lừa Ngoạn Mục (16+),11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-03-01
GiccPlmJap4,11884434,193326,7524,7082,16.26716089,0.595905535,0.925073811,610.0,66.95,29,4,2020,FAPtv Cơm Nguội: Tập 218 - Tình Yêu Và Danh Vọng,11,ô tô tải nhạc Sau khi mà tốt nghiệp cao đẳng anh định làm gì anh em cũng biết nữa ngành Công nghệ thông tin này nó mông lung đó tại quen anh anh hồi đó thấy anh theo trường mẹ mới theo anh cho em có biết gì đâu Nói chung là bây giờ cầm cái bàn đại học nào cũng không biết làm gì Không Ồ sao em muốn làm chuyên mơ xa ta stream Lima làm sao vậy đó Bây giờ em cứ chơi game FIFA đi Còn cái chuyện mà livestream Để anh nghiên cứu cho xong xuôi hết rồi đó từ bây giờ cái tên chuyên của em sẽ là nhân,116.0,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2020-04-01
TqI7F5Kickw,11038215,151511,5283,4043,13.72604176,0.366272989,0.932606269,605.0,27.816666666666663,13,6,2019,FAPtv Cơm Nguội: Tập 197 - Yêu Người Nổi Tiếng,10,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-06-01
rT3IZOp1gJk,30523664,218456,12355,9956,7.156938957,0.326205923,0.8929388420000001,593.0,32.21666666666667,31,5,2018,FAPtv Cơm Nguội: Tập 167 - Quý Tử Đi Học,10,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-05-01
RLc98Aor_oc,13628834,176569,7077,4488,12.95554704,0.329301832,0.922922781,591.0,44.36666666666667,12,11,2019,FAPtv Cơm Nguội: Tập 209 - Cãi Sếp Thì Đi Xa,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-11-01
3yGwcEl93EI,12565591,161102,7278,4617,12.82088523,0.3674319820000001,0.913547253,588.0,60.15,23,1,2020,FAPtv Cơm Nguội Đặc Biệt : Tập 214 - Tết Về Theo Chuyến Xe  (Phim Hài TẾT 2020),19,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2020-01-01
4FLO4ic6GNg,17274385,228679,18432,6351,13.23804002,0.3676541889999999,0.8508166340000001,587.0,55.2,7,3,2020,FAPtv Cơm Nguội: Tập 216 - Ba Chàng Trai Hạnh Phúc,11,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2020-03-01
6KwHTvix_rg,5292957,89229,2631,4236,16.85806252,0.8003087879999999,0.942706916,578.0,59.0,9,11,2019,Sạc Pin Trái Tim - Tập 17 + 18  - Phim Tình Cảm | Hi Team - FAPtv,19,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-11-01
asFANx6G4iE,11238834,85061,3027,8437,7.568489756,0.7507006509999999,0.9312627,577.0,19.183333333333334,8,4,2017,Chàng Trai Của Em - Tập 14 - Phim Học Đường | Hi Team - FAPtv,16,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2017-04-01
9UajJWBhc6A,9489925,70761,4667,1861,7.45643406,0.196102709,0.876241233,572.0,181.81666666666663,27,11,2019,Anh Là Ai ? (Tập FULL) | FAPTV,8,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-11-01
x2coDrIM3lE,13529143,168262,7581,7670,12.43700359,0.56699822,0.91377016,562.0,42.85,25,12,2019,FAPtv Cơm Nguội: Tập 211 - Sếp Tôi Thất Tình,10,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-12-01
VIIRmEI2uiQ,6598034,58056,3176,2181,8.798984667000001,0.33070457,0.896248755,560.0,328.35,6,12,2018,Ai Nói Tui Yêu Anh - Tập FULL - Phim Học Đường | Hi Team,15,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-12-01
MdsrLguZd14,17501828,190457,7742,6100,10.88212043,0.348535022,0.921871847,559.0,52.81666666666667,18,8,2019,FAPtv Cơm Nguội: Tập 202 - Đặc Vụ Học Đường,10,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-08-01
ATd0zK5yRxQ,12335314,185101,10749,5203,15.00577934,0.4217971270000001,0.890227775,556.0,57.93333333333333,25,7,2020,FAPtv Cơm Nguội: Tập 226 - Sui Gia Gà Trống,10,ô tô Anh ăn gì một cái không vơi đi cho nó được hội để làm đêm hôm qua chồng kể cho khách quen ai ngon con Hello mọi người đi ăn đi cho nóng nào nay mấy người ăn phở lâu đấy nhé nữa không làm giảm được Đúng rồi Đã,52.0,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2020-07-01
vKabwPCCDA4,16939298,172071,9409,16939,10.1580951,1.000041442,0.896303194,555.0,38.9,27,7,2018,FAPtv Cơm Nguội: Tập 175 - Sự Thật Về Nhóm FAP TV Phần 2,14,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2018-07-01
rcFLFxRHEQ4,18060862,151947,6015,18709,8.413053596000001,1.035941695,0.923836595,536.0,31.18333333333333,9,9,2017,Em Của Anh Đừng Của Ai - Tập 14 - Phim Tình Cảm | Hi Team - FAPtv,18,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2017-09-01
NlGLzbTB_oA,3540301,68455,1627,2956,19.33592652,0.835239715,0.95355507,532.0,33.18333333333333,8,12,2019,Sạc Pin Trái Tim - Tập 20  - Phim Tình Cảm | Hi Team - FAPtv,17,,,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2019-12-01
VUplNmhJa6Y,8496218,134478,4240,3489,15.8279837,0.410653305,0.938862016,532.0,54.98333333333333,16,9,2020,FAPtv Cơm Nguội: Tập 233 : Học Viện Chồng Ngoan,10,ô tô anh cho em ngủ 30 chiều em chặn à ở cầu cầm lương tháng cuối là nghỉ luôn đi em đừng nấu em xem em hưởng môi em không mượn tiền đồng nghiệp nữa đâu lương Cậu cũng đâu có khách mà sao cậu mượn tiền đồng nghiệp đã đành cô còn quay sang mượn luôn khách hàng là công ty mình là cái gì Công ty đòi nợ có hiểu cảm giác mà tôi qua đòi nợ khách hàng cách hàng nói ngược lại là nhân viên của anh còn thiếu nợ em đó tôi thấy được không mà em ngủ nấu nhiều đó ngủ 5 chục ngày tránh hay có mượn nhiều tôi không Thức đòi đòi lần tỉ mượn có 50.000đ vào lúc thì để,130.0,UC0jDoh3tVXCaqJ6oTve8ebA,High,Comedy,High engagement,2020-09-01
