video_id,label
8j9vSEYtwqI,Medium engagement
wdX8j5UtoOY,Low engagement
1kJhCEMG_7g,Medium engagement
eUkEnw5QSdc,Medium engagement
rnWOh5_atzA,Medium engagement
uqp7lfbsw1w,Medium engagement
snvurj-eefM,Medium engagement
IayRaqP1tNw,High engagement
KfZJGFrdCs0,Low engagement
DTmEkbLObsQ,Medium engagement
qsp4skVgtco,High engagement
yWQbo6u-g6g,High engagement
3gQSY0fjq7A,Low engagement
eRFVOjjaEtg,Low engagement
TPoZqRp5RSE,Low engagement
-Fe9-4e08Os,Medium engagement
SXBOXCi5oyI,Low engagement
tqfzul636Ko,High engagement
aXWAc7BL-ok,Medium engagement
DdXQH9CHCWU,High engagement
o7EjW7uZVzg,Low engagement
Lut0ZgOXJjI,Medium engagement
VXgquaaFDR0,Low engagement
SPGnfMjfCmk,Medium engagement
62DUpQSAPO4,Low engagement
_SF09i4wK_Y,Medium engagement
qpi01f39dbs,Low engagement
HI0VvgnmMAQ,Medium engagement
O5EB8jUee1U,Medium engagement
jA_0bFGsldA,Medium engagement
W4B1JM5K0l4,High engagement
f0sDLlZ6y7c,Low engagement
45vY0-x6yEs,Low engagement
aZiUvsEFeas,Medium engagement
uOjmegBtx_I,Medium engagement
6_pdb1skdLs,Low engagement
nmcoLVY-7Yw,Low engagement
SqLjaapdnZQ,Low engagement
voV_8EwoMik,Low engagement
B7sbFGmm53s,Low engagement
7GDAC7e2vPU,Low engagement
0ZGJKfYhUQU,Low engagement
grGoYQZt1MI,Medium engagement
zbvetChUj9c,Low engagement
2UXj8X6FNvw,Low engagement
iSHlgdszASc,Medium engagement
ooLe450fTw0,High engagement
4FGAa48-pIc,Medium engagement
4h7wB29U8Fo,High engagement
I5ZbRWxZY_g,Medium engagement
NbE7xbt2akc,Medium engagement
yocur9JcvHY,Medium engagement
R37OdAPCScw,Medium engagement
O6bJdffwL6Y,Medium engagement
LQAs9kJO4OI,Low engagement
_3y72XERh_A,Medium engagement
wjVUfGGdNNw,Low engagement
BZj9tzDfSp8,Medium engagement
NedGGCYt3ZI,Low engagement
JVa3QzXeM-8,Low engagement
Olk7wET1XGg,Medium engagement
UFsuviZJS7g,Medium engagement
6kT8DTyd3qg,Low engagement
hLH5i56dw8Q,Low engagement
UaebJU5SqOM,Low engagement
hHvc4_NqFSs,Low engagement
m_wxRWckA6s,Low engagement
6CmkUheVH4I,Medium engagement
NQ5nulfXZBw,Low engagement
ZryCihK3sw8,Medium engagement
fCa1wGoFAn8,Low engagement
3MokxNnMmr4,Low engagement
