video_id,label
6my6-ts0qnI,High engagement
sGx60Xsu-Ps,Medium engagement
7oqEWU6g5hg,Medium engagement
PJQDRMy1e40,Low engagement
u9hFKNOzp1M,Low engagement
ADkR0zUWcbY,Medium engagement
KKg1zOVWaac,Low engagement
B4c4woQASPo,Low engagement
p1rVZOL_g2c,Medium engagement
Sjp6_cbwALg,Medium engagement
bIsnmcn_yN8,Medium engagement
OVUZwjGGxKg,High engagement
swFH2ipRUwk,Low engagement
7JBF_76uRRc,Medium engagement
bVV8fZo9BTQ,High engagement
V90kdS9QVDc,Low engagement
f4c6L_oSPh4,Medium engagement
LiWuwuAG7gM,Medium engagement
tJ2licw7ENE,Medium engagement
n-6iWup4zrc,Medium engagement
1vGxXNguy_4,Medium engagement
mvgngcyneZE,Medium engagement
KnE0LM04MsA,Low engagement
Wi1l8jfkqq4,Low engagement
EX1sh85BoE0,Low engagement
bUhb_yyS4LE,Low engagement
6vcqgaA3IRA,Low engagement
owtibz96J2Q,Low engagement
oxk6Ls3Kl3Q,High engagement
Px-0UT5fEy0,High engagement
67UynYLB31c,Medium engagement
GNpp2PWofkE,Low engagement
Zthbo5_WX24,Medium engagement
HKN4poIzQzU,Low engagement
PELE_nkHDaE,High engagement
F315nyf2Bgo,Low engagement
oB5Q9qjz2ik,Low engagement
x-Y41rioRfM,Low engagement
o6tS3y0caQU,Low engagement
mArXomo1jqo,Low engagement
BeeZUn2cqq0,Medium engagement
KhBwruueHvo,Medium engagement
g4xbCzc_z7w,Low engagement
VL52xSUM6Y8,High engagement
h4d0HM9_3hQ,Medium engagement
x_XWnCK9938,High engagement
oKzV8wPsk0w,Medium engagement
itEWQNVgyF0,Medium engagement
EusZJI7BXug,High engagement
bxBZiCT4L4Q,Medium engagement
LjxPL3Q7ucU,Medium engagement
glVysigyRI8,Low engagement
ITBT2DARl88,Low engagement
929vH8JEmGA,Medium engagement
8gkUGIZOrxA,High engagement
5r1XgLnqfWM,Low engagement
9dx4p914Zso,Medium engagement
mU5ZF_Dg8Wo,High engagement
98neL-ILFeA,Low engagement
j2R_00DT8_U,Medium engagement
d64fnGYNMvs,Medium engagement
dPa7rFLelZc,Low engagement
sVkxvYbVlGk,Low engagement
Gzd-Oj82d2A,Low engagement
iO9tfxN47NI,Medium engagement
snvurj-eefM,Medium engagement
9r-QMtBahpw,Low engagement
qGCKCA-7eIg,Low engagement
GYh3uHCgDSs,Low engagement
2yh2pOcVSnY,Low engagement
HfXWVZrkmU8,Medium engagement
rOhu6GUEfkk,Low engagement
fyiKtFyo2yo,Low engagement
qPCfADSS9fs,Low engagement
r-7frUTTpiQ,Medium engagement
v32lFxUUV5o,High engagement
PTVNbsKFPvA,Low engagement
oEFnFGodh3k,Medium engagement
TWe70u8GNCg,High engagement
n8JhTzkos2I,Medium engagement
qIwZKkx5hlM,Low engagement
bX9HwCBIs0c,Low engagement
3a3VW_5WFzI,Medium engagement
4PHIbN9StGU,Low engagement
OTzX5ExGVww,Medium engagement
HD8LmDzj6Ag,Low engagement
ZnPjsZaoG8Y,Low engagement
0lJqPcqxMQg,Medium engagement
EewwQAzAG2I,High engagement
s5zjBRnZqmc,Medium engagement
LpmC03Uy7UY,High engagement
LmqlBQNj-zU,Low engagement
JVa3QzXeM-8,Low engagement
LoT5yhZHpDU,Low engagement
KE12w2AszF8,Low engagement
lYsl0jYhm0c,Medium engagement
DCof2uciPg8,Medium engagement
DNby1Bm0h5w,High engagement
ut7klGqnsVY,Medium engagement
qIaWp6IA_TI,Medium engagement
JQBNIRRs1uQ,Medium engagement
IvWIuF9hUiA,Low engagement
8myfosNhQg8,Medium engagement
