video_id,label
Z4BTKeXXQoA,High engagement
dN3s5POftlg,Low engagement
1joeJMr2Mxs,Low engagement
Jee74jecmAM,Medium engagement
HZO7DbjPLWw,Medium engagement
yflEf9J6KI8,Medium engagement
RtAW0Hdv-8w,Medium engagement
Kt1gRulV2MI,High engagement
p_qthYXaaME,Low engagement
qjQq7WbGf4E,Low engagement
cCRu-u-XhdM,Low engagement
G2F2XyIFY9Q,High engagement
3cKHS4Q1clU,Medium engagement
qt20xMoRxeo,Medium engagement
2kdZaQItLAM,Low engagement
Y9ohp3XLY84,Low engagement
YS2lnPG4BzA,Medium engagement
qY6-vqvly9U,Low engagement
MNI9P8RSJVc,Medium engagement
neE8buwDcio,Medium engagement
JPBr1LIoVzY,Low engagement
dHN5NZg6j3w,Medium engagement
ATxUv8VsVaw,Medium engagement
c4aW_fYz4sg,Medium engagement
R56GRmovG-c,Low engagement
UGnF50c9UZI,Low engagement
d2Ni6Jc4fK4,Low engagement
8Ha5V0ONE4c,Low engagement
HQ1lD91TrrY,Medium engagement
WfcCi69IrtQ,Medium engagement
eY_Kfsf7FNA,Low engagement
H2SD8pQMz1g,Low engagement
NqGpu4u212E,Medium engagement
4X-WYITeEeA,High engagement
DFaDFj3mlYM,Medium engagement
2TncN9iWbCg,High engagement
zNii2bQD2YE,Low engagement
jj6DW-fcwJg,Medium engagement
CwSbn9y6410,Low engagement
Sry-p9I26HU,Low engagement
bqLLfEC4hf8,Low engagement
PgaAZZY-qrg,Medium engagement
0dMF1U0ZFU0,Low engagement
T02aU8qpshQ,High engagement
UX_2a1OjGmI,Low engagement
f5e1HPDyHuA,Medium engagement
9hPSCKKUa0o,Low engagement
yFA4yl42uUY,High engagement
ftvW17DgrAE,Low engagement
W9Qsu2NXYBA,Low engagement
hoFs1h0LMu8,Low engagement
Ktl5Xv274HI,Low engagement
44vphbAHQZ8,Low engagement
AT1G5e1nB98,Medium engagement
Vjh0NR3HXiU,Medium engagement
v_3SMdF8ZnM,Low engagement
iyfgxm7zJPY,High engagement
oSogZxj-Zns,Low engagement
kAB49vCmo44,Low engagement
y0N4rgZCuSU,High engagement
sX_PV8ikqnk,Medium engagement
NJPdfRVH0SM,Low engagement
CIexQPKflgQ,High engagement
n4EtQceXAfg,Medium engagement
NbE7xbt2akc,Medium engagement
voV_8EwoMik,Low engagement
GTvEKqo9i98,Low engagement
HrbvxSqw7ms,Medium engagement
Ds7fcD2bGCA,Medium engagement
MPcajZipTLk,Low engagement
uqGH83685BY,Medium engagement
sENdfpyECTI,Low engagement
W-YFarCsO_c,Medium engagement
vwv1xZXzMYU,Low engagement
Lmdl0C1Dxks,Medium engagement
dpVgr2LHxXc,Low engagement
bxBZiCT4L4Q,Medium engagement
BjYfXtGFNG0,Low engagement
AG1TuWz363k,Low engagement
HQ_pNqzyMTI,High engagement
kgEQMFxb3fM,High engagement
g0i0NwjTF6Y,Medium engagement
8qbGq-jX9X0,Low engagement
4kpIrkuz85I,High engagement
78uRq9DW6Eo,Medium engagement
k5oNTeyjkqE,High engagement
8LFkIfC5HJs,Medium engagement
mKkLXRbwVBk,Medium engagement
PXuw8z-FxCE,Low engagement
e6tBCZcZ0fc,Low engagement
lVKRVE89MC4,High engagement
KraM3jg2WdQ,Medium engagement
uqp7lfbsw1w,Medium engagement
cKFMbtL_u78,Medium engagement
KFj1tTm0IG0,Low engagement
78wSg1JuWuo,Medium engagement
ZeO0HdndbWc,Medium engagement
j-fomUJBpRE,Low engagement
wZrKKjCxy80,Low engagement
Gg7cLsx7rQg,Medium engagement
YW18HxZ7MIo,Low engagement
R37OdAPCScw,Medium engagement
QnS5tUwoW2A,Low engagement
TVF5KW4fMXQ,Medium engagement
4Bb5Yo_x3Kc,Medium engagement
qAnCoWchZ-U,Medium engagement
u-DJo_oBb0A,Medium engagement
Fokq7yWMOZo,Low engagement
iXqHcinVGz4,Low engagement
20WnserfgIw,Medium engagement
qBVRE6h9x2g,High engagement
I2sbxZubdgk,Low engagement
_BXT4cd9bx8,High engagement
cn3kq7hKX40,Low engagement
w_EGx39zgOE,Low engagement
v6M2Yebz_DM,Low engagement
C5TDpIo6PPw,Low engagement
HWuE9f0w32I,Medium engagement
qjO_TFwfJuo,Medium engagement
_DSch4d23yY,Low engagement
mWXHEirZnuA,High engagement
mK-gad8tFvs,Low engagement
HfOVMBb7pPY,Medium engagement
Mtja_wPYKZ4,Low engagement
wFg8mx49RVo,Low engagement
f4YSUO5d44U,Medium engagement
gTZKDPPZF14,Low engagement
YSX_WtYf8kA,High engagement
lue1kJj55b0,Low engagement
UBcbiHPyiA4,Low engagement
G4qRxGO-dDA,Low engagement
ux07SQUUNtE,Medium engagement
QPaM9X07Nt4,Low engagement
XqHSKeqVfWo,Medium engagement
289o5VFv9Vw,Low engagement
OoriLX7avzo,Medium engagement
LpvsWlJogcQ,Medium engagement
AdZl45-GtyI,Medium engagement
dRsR8cUD-Bw,Low engagement
kfXJu10y-Tk,Low engagement
xkMFP9YMjMc,Low engagement
G2jfd00y5I8,Low engagement
htw_hy77OGE,Low engagement
uhHiIKF9QLY,High engagement
ETjJdc7a_Ok,Low engagement
rqJ_x4lvl4k,High engagement
kOVTEXylAAo,Medium engagement
2aoANMgkKQ0,Low engagement
QiYl-PNZ9VA,Medium engagement
OZXgwlQ2lnc,Low engagement
WzT9P1wsdnI,Low engagement
fQiHhd8F6LA,Low engagement
l3YvzaTQpag,Low engagement
zzebN5E6Y2g,Medium engagement
WSNhXJ_T574,Medium engagement
pc3Rj7nG5uo,Medium engagement
xtArAQVLtrg,Medium engagement
vDLNnTWvZSk,Medium engagement
zMX3jpF_2v8,Low engagement
PriYBftVss0,Low engagement
SOVACIIV35o,Medium engagement
AFv4EkfrpGs,Medium engagement
sgQFjVMcpqM,Low engagement
3m6mHml5zj8,Medium engagement
ouOiN31KiPA,Low engagement
4SXh3h-E8AM,Low engagement
iXc0CZ2f7FY,High engagement
6iRaK4PaQOc,Low engagement
zVEk08As58w,Medium engagement
aZcUyGOR6Mk,Medium engagement
L3HzXN54vUs,Low engagement
dAse4S2n_D8,Medium engagement
_iZBMvwLP4s,Low engagement
OBFd8yPyqeE,Medium engagement
Cxq-fktUc4g,High engagement
C9MoJcwkSuE,Low engagement
YqIqG9ChS6o,Low engagement
eguBgW2o6yU,High engagement
I5A5bxa4kFA,Low engagement
uYVKGZLqG7c,Low engagement
elDeUKH8Whw,Medium engagement
jq7A8TjajUI,Low engagement
UM9GfBvg2dQ,Medium engagement
JkwdQiEEFU4,Medium engagement
wxSGXY6cTac,Medium engagement
R8VsIKj_sSk,Medium engagement
33e15vClypY,Low engagement
FnAI71CRrSA,Low engagement
NmhyAtW8adg,High engagement
tDZMsfrTYXQ,Medium engagement
vbyJYdziQj8,High engagement
0U3ib4BMwwI,Medium engagement
2XTeZanOL8w,Medium engagement
ws4cGNvwRbg,Medium engagement
-2sp5E9sZ_E,Medium engagement
EXE_IhY_JzM,Low engagement
Ce2xrCjmGao,High engagement
XKR4pGct0k0,Low engagement
HtowrZEPKTo,Medium engagement
zhNKqG8ZrfY,Low engagement
rR3l8yAVP5c,Low engagement
9sckFiFdzHU,High engagement
ikoc9eNcOgU,Low engagement
d0jTx2vYN1s,Medium engagement
tpXTz_0FjEA,Medium engagement
X8Xyxum51xo,Low engagement
I2rgC9cvejM,Medium engagement
oSA3pBxGAJM,High engagement
jwAJqTlz-GI,Low engagement
zgQw0pKzUFY,Low engagement
kxovTVQLQKI,High engagement
994T0H3yKXY,Medium engagement
PimH6jdzmdE,Medium engagement
0HWbdo_V-ok,Medium engagement
1LdhtL10aGc,Medium engagement
IKrl7-PIrVY,Low engagement
xJ0pIbg2zjQ,Medium engagement
qqYy8hFunLY,Low engagement
cgzO6PWn9M8,Low engagement
ZpnvoiLKcyk,Medium engagement
3St-mUByEDM,Medium engagement
8RvpzAIPmiQ,Low engagement
6mzDez8HWy4,Low engagement
RTQc_4A6db0,Low engagement
ve-mXUadCPE,High engagement
O6bJdffwL6Y,Medium engagement
RQN99clDmzQ,Low engagement
iHEvrdNqMC0,High engagement
RwtqeQy5ZT0,Low engagement
07whk7FVHYs,Medium engagement
Hgb0RlWEXJQ,Medium engagement
ut7klGqnsVY,Medium engagement
pzqnR-DAAVs,Medium engagement
WRltPkM5tic,High engagement
0iPGel-hpOc,Medium engagement
a-JGWScprZQ,High engagement
CyK9AikjQBI,Low engagement
HbnaJMOjt7s,High engagement
AMN3cJHvGCA,Medium engagement
dKMlWDOCkZA,Low engagement
E-Qb0Uj5BL8,Medium engagement
6TrdFxPjCPo,Medium engagement
E1LiUrYt7gI,Low engagement
AN9DL6YPxvQ,Low engagement
Tw-kDiM8tZA,Low engagement
gFOYYV_i0Bo,Low engagement
COw8PaJmc4c,Medium engagement
q__YEU2Xq7U,High engagement
Oee6NLjuIjk,Low engagement
efd66jzw75k,High engagement
0C3nm7UGdAo,Low engagement
wmUDHn9Plpk,Medium engagement
iXT6u_SNeBg,Medium engagement
bqdVpdyyb_s,Medium engagement
oigqGKYN19I,Medium engagement
G6Ce-TrOUXQ,High engagement
gP9XV9a9zt4,Low engagement
D-IeKE_xsxk,Low engagement
iEs_YCRhqnE,Low engagement
4mOlYMNg-po,Medium engagement
79EXBQD61Og,Medium engagement
8ZyG8xy9Wxk,Medium engagement
8X9uaNRd3G0,Low engagement
dcC3BiqP5iA,Low engagement
7q3Hdfoxd3A,Low engagement
lV6uRbvGi1c,Medium engagement
ieIV38wcEj4,High engagement
8adQrpfLaZs,Medium engagement
BB8KYyjKIrY,Medium engagement
D63oT6shih4,Low engagement
m_wxRWckA6s,Low engagement
Kin2w_pTItc,Medium engagement
Qal8yOmK0J8,Medium engagement
