video_id,label
3cKHS4Q1clU,Medium engagement
Y9ohp3XLY84,Low engagement
neE8buwDcio,Medium engagement
JPBr1LIoVzY,Low engagement
dHN5NZg6j3w,Medium engagement
c4aW_fYz4sg,Medium engagement
R56GRmovG-c,Low engagement
NqGpu4u212E,Medium engagement
DFaDFj3mlYM,Medium engagement
jj6DW-fcwJg,Medium engagement
Sry-p9I26HU,Low engagement
PgaAZZY-qrg,Medium engagement
f5e1HPDyHuA,Medium engagement
9hPSCKKUa0o,Low engagement
yFA4yl42uUY,High engagement
Vjh0NR3HXiU,Medium engagement
v_3SMdF8ZnM,Low engagement
sX_PV8ikqnk,Medium engagement
GTvEKqo9i98,Low engagement
BjYfXtGFNG0,Low engagement
uqp7lfbsw1w,Medium engagement
cKFMbtL_u78,Medium engagement
j-fomUJBpRE,Low engagement
Gg7cLsx7rQg,Medium engagement
YW18HxZ7MIo,Low engagement
R37OdAPCScw,Medium engagement
Fokq7yWMOZo,Low engagement
I2sbxZubdgk,Low engagement
HWuE9f0w32I,Medium engagement
mWXHEirZnuA,High engagement
mK-gad8tFvs,Low engagement
f4YSUO5d44U,Medium engagement
gTZKDPPZF14,Low engagement
G4qRxGO-dDA,Low engagement
ux07SQUUNtE,Medium engagement
QPaM9X07Nt4,Low engagement
AdZl45-GtyI,Medium engagement
dRsR8cUD-Bw,Low engagement
rqJ_x4lvl4k,High engagement
QiYl-PNZ9VA,Medium engagement
OZXgwlQ2lnc,Low engagement
WzT9P1wsdnI,Low engagement
l3YvzaTQpag,Low engagement
vDLNnTWvZSk,Medium engagement
PriYBftVss0,Low engagement
SOVACIIV35o,Medium engagement
sgQFjVMcpqM,Low engagement
4SXh3h-E8AM,Low engagement
iXc0CZ2f7FY,High engagement
zVEk08As58w,Medium engagement
aZcUyGOR6Mk,Medium engagement
_iZBMvwLP4s,Low engagement
C9MoJcwkSuE,Low engagement
JkwdQiEEFU4,Medium engagement
R8VsIKj_sSk,Medium engagement
33e15vClypY,Low engagement
0U3ib4BMwwI,Medium engagement
2XTeZanOL8w,Medium engagement
XKR4pGct0k0,Low engagement
HtowrZEPKTo,Medium engagement
zhNKqG8ZrfY,Low engagement
9sckFiFdzHU,High engagement
tpXTz_0FjEA,Medium engagement
zgQw0pKzUFY,Low engagement
PimH6jdzmdE,Medium engagement
IKrl7-PIrVY,Low engagement
cgzO6PWn9M8,Low engagement
8RvpzAIPmiQ,Low engagement
iHEvrdNqMC0,High engagement
Hgb0RlWEXJQ,Medium engagement
pzqnR-DAAVs,Medium engagement
0iPGel-hpOc,Medium engagement
dKMlWDOCkZA,Low engagement
AN9DL6YPxvQ,Low engagement
efd66jzw75k,High engagement
4mOlYMNg-po,Medium engagement
79EXBQD61Og,Medium engagement
8X9uaNRd3G0,Low engagement
lV6uRbvGi1c,Medium engagement
BB8KYyjKIrY,Medium engagement
Qal8yOmK0J8,Medium engagement
XG-6BsSvmlE,Low engagement
gC3eD_KJgv8,Medium engagement
kO4b0hRjiqA,Medium engagement
yocur9JcvHY,Medium engagement
r0DpIaHT5aY,Medium engagement
SuXG0j0IE6c,Low engagement
fTMATH-g5b4,Medium engagement
xDYV8KfAIpo,Low engagement
rOD-ZCRmH9g,Medium engagement
t7vNbJaoXkU,Medium engagement
iWHA-JxJWW8,Low engagement
RFmIwLecIaU,Medium engagement
NdAYZeNGldQ,Medium engagement
l-CMde2_6-c,High engagement
NeaGea9YaTo,Low engagement
oEFnFGodh3k,Medium engagement
lgD1XxIyAw0,Medium engagement
7dRW92DrCew,Low engagement
nWGMfIZsBC8,Medium engagement
pRyQZ511X-8,Medium engagement
r-9iBDPc68M,High engagement
cIPoaAvMi3g,Medium engagement
OFxFwMS39vk,Medium engagement
KzlKUZVxazs,Low engagement
IWEyWbpy0PU,Low engagement
a4i1h9OP2f4,Medium engagement
r026ZaRhLjE,High engagement
RArDcHmoZfU,Medium engagement
ZZbJD7HX7T4,Medium engagement
OTY5N94bpL8,Low engagement
XSFHeXv7BUE,Low engagement
PaCjhZrWN0w,Medium engagement
3mkWgf8RmIw,Medium engagement
rO_DlGXaN4w,Medium engagement
WBQnWhYO5MY,Medium engagement
vTCkpt_Xhw8,Low engagement
ngLoivv-lXA,Low engagement
Dmznb4gyonU,Medium engagement
XRCLklZT2wM,Low engagement
ooLe450fTw0,High engagement
VSbabaTFs8E,Medium engagement
