video_id,label
R9bXfzm2284,Low engagement
j8k6s7T-of4,Low engagement
pXk3zYKPFAo,Medium engagement
x-Y41rioRfM,Low engagement
4ZOFUPYz8oo,Medium engagement
p1gvgeWYDno,Low engagement
2SKz021Z3X4,Low engagement
6svpPSICKWc,High engagement
ngLoivv-lXA,Low engagement
LfOul2pge0Q,Low engagement
ZO0dt1ozgJY,Medium engagement
cmo0TRJbGyI,Low engagement
DiSiMr6K5A4,Low engagement
M09N9f0bRi4,Low engagement
2Ht3aYvmxNs,Low engagement
60IqndflppM,Low engagement
qf792fwTTm4,Low engagement
3R5WE4cltq8,Low engagement
XRCLklZT2wM,Low engagement
GKTpUGkhvig,High engagement
EFmtK5eyXVE,Low engagement
kC2T-LF9hek,Low engagement
_2jj8aAf-5U,Low engagement
wlvsc9hLrVI,Low engagement
9KMFI2m5Bn4,Medium engagement
XTJoL3QkZzA,Low engagement
v_3SMdF8ZnM,Low engagement
e0O6zbd3EII,Low engagement
8Oi2J4yuCyU,High engagement
t5hI68jSvik,Low engagement
RArDcHmoZfU,Medium engagement
9k8zVasOCjo,High engagement
GV8aHsjLF10,Low engagement
ZH1_pWi-pFw,Low engagement
Ke6HMuhpeVA,Low engagement
itEWQNVgyF0,Medium engagement
5RfloaY-8rE,Medium engagement
hwO-Ix6xBoo,Medium engagement
Fck6Vr7xlHc,Medium engagement
7JXwVGQ3kyM,Low engagement
SYafgbjcf1k,Medium engagement
AN9DL6YPxvQ,Low engagement
qtrsXTLt_ks,Low engagement
q3mBwFVVOwc,High engagement
AYo0kH5mpS4,Medium engagement
h8IGzDE-R88,Medium engagement
q0pQL-dHOyQ,Low engagement
widJahq4AT4,Low engagement
0IRHX3LhaBU,Low engagement
KXZOoXU190U,Medium engagement
j0Vtc19VWlU,Low engagement
yXOwtMajodY,Low engagement
rAjvT6_DCgg,Medium engagement
WBH7EbdXzc4,Low engagement
Sry-p9I26HU,Low engagement
Sk8LtLA-jR0,Medium engagement
wQ7h-C-aZHM,Low engagement
ZsWNzdFCNp4,Low engagement
U4XTXc2JjqY,Medium engagement
TrXPxyqk_4M,Low engagement
iBNW8AU1l8c,Low engagement
0Fcxgqfck1w,Low engagement
gy3Kz0Unhn4,Low engagement
qPCfADSS9fs,Low engagement
ZnwE-25P5_w,Low engagement
k6muqxeaBjw,Low engagement
vqujwnI1R8o,Medium engagement
hSXGR1rE7oc,Low engagement
odIjFgNP794,Low engagement
9Ai5wNVSOfg,Low engagement
vig4osC5LIs,Low engagement
3pi_RW0KpWk,Low engagement
6z6YXYCNzF8,Low engagement
5-Ghg-usrrc,Low engagement
zbtmzW2bMEQ,Low engagement
MfTNoshIWBM,Low engagement
i0xxVIeXju8,Low engagement
4p7VFRWNzDw,Low engagement
jdxXTR61pxg,Low engagement
nyTjxgP7T6w,High engagement
ZcR3aN9TID8,Medium engagement
loy5NbLUNTA,Low engagement
Mopexqesbbs,Medium engagement
4HT1sMAr9s4,Low engagement
dgnr_VUKKRA,Low engagement
p53vmOV1OQM,Low engagement
QjpZQa8Clfg,High engagement
yDAxRNeb93k,Medium engagement
GhraBuIB0Zw,Low engagement
IShV5YPI1N8,Medium engagement
yAdHTrYEWyI,Medium engagement
oBOA4tFmFkA,Low engagement
uT6yJWDNk_w,Low engagement
D86TWOMapYk,Low engagement
C7rseRj4I-0,Low engagement
9IXfd8FMlsQ,Low engagement
cs22YxjGvzY,Low engagement
j-ZMRE5HlBg,Medium engagement
eVCfaD_hmJ8,Low engagement
Vb0IwtHerr4,Medium engagement
brp5cCGsJ1I,High engagement
u-N3DcbEEr4,Low engagement
fbGbMXGwl8A,Low engagement
JKHqIsXw8n0,Low engagement
Vkvmm9drU6w,High engagement
obDmRULrOUY,Low engagement
3YT5tgNIDW0,Low engagement
4YvYnJMnyKU,High engagement
z3FrJtO5s38,Low engagement
os9bJGmEt_8,Low engagement
swFH2ipRUwk,Low engagement
QJEM9hfllBc,Low engagement
ea_iZwyZjJM,Low engagement
PCkqfzwaYHA,High engagement
XDBCSV-xjXg,Low engagement
9tCSC6PwESs,Low engagement
qgPCvpFZkic,Low engagement
EnG-PtMxMUs,Low engagement
PxInJg2w8qs,Medium engagement
3fukSvoJ3A4,Low engagement
bVcpCEqOIG8,Low engagement
vzGhYExgkho,Low engagement
tjvDLvosP5Y,Low engagement
NQ5nulfXZBw,Low engagement
11bnTROE1iM,Medium engagement
f5e1HPDyHuA,Medium engagement
bvUgjOnkdyI,Low engagement
zgQw0pKzUFY,Low engagement
K0nZfzSXbyE,Low engagement
dlhGcbDbejA,Low engagement
0F8R_TqslJA,Low engagement
_QbaDL2WLcA,Low engagement
9S_Y60CwVsA,Low engagement
z7mqLa1m1Ts,High engagement
sgQFjVMcpqM,Low engagement
RMibd0hjbxI,Medium engagement
jcyl8rPznM8,Medium engagement
9sckFiFdzHU,High engagement
FDyHPhsIbzk,Medium engagement
kBDeIg2GrxE,Low engagement
vTCkpt_Xhw8,Low engagement
ttxx4IQHSFk,Low engagement
u_5EiMMTF7g,Low engagement
pPSNO2KZV2I,Low engagement
BqI6txgcQsA,Low engagement
EVRYs7ToEtc,Low engagement
0HDkoO5BWUI,Medium engagement
ulKEYahyOcw,Medium engagement
D5YfZd5j69o,Medium engagement
bOsHkd4HUsw,Medium engagement
WMkjSHYV0z8,Low engagement
AdRqJougpU4,Low engagement
86GrPVnCPMo,Low engagement
VW7h5arkxuE,Low engagement
kAoLxZTeD98,Low engagement
cz9RcFPsto8,Low engagement
sckmDbRpl6M,Medium engagement
bxsMN7HND74,Low engagement
yplq_vMyxPQ,Low engagement
bLqE2I13PUY,Low engagement
3NqeqOqwLVM,High engagement
S1ce8HE9efI,High engagement
b5Km0nOkuuc,Low engagement
5g7HSUrQDv0,Low engagement
D6Xcb6-n_VI,Low engagement
XiKeyGozBrQ,Low engagement
PFcjoML8Pv4,Low engagement
3cIAV3T_sSo,Low engagement
PriYBftVss0,Low engagement
WXfxb224y3Y,Low engagement
rpiv34osX8I,Low engagement
BLbPqanjckk,Low engagement
W9tsPomNiyM,High engagement
DH0OWL3f8f8,Low engagement
Ou3DtTyil8c,High engagement
w_I8lU0_Usw,Low engagement
