video_id,label
JMxp36V_Cd0,Medium engagement
Z8jPszE96Us,Low engagement
XfgyAs1Q8KQ,Low engagement
O6MNQJIkqYw,High engagement
9um42yjMOmI,Medium engagement
gK4PxTgVtSI,Low engagement
Bd8rolSkRH4,Low engagement
9Il-gTinvQ8,Medium engagement
8UrbIijhg3Y,Low engagement
ATHdMa1Fez4,High engagement
FiYgiSVp46I,High engagement
7OwgtpPybMQ,Medium engagement
mZA5bijwlB4,Medium engagement
z2Qh_3aqJUE,Medium engagement
rqJ_x4lvl4k,High engagement
015DqDkdSmU,Medium engagement
yT5iLf8tMPk,High engagement
dcC3BiqP5iA,Low engagement
YSX_WtYf8kA,High engagement
4h7wB29U8Fo,High engagement
49n9G3T6rqM,Medium engagement
goOC-21T168,Medium engagement
AP8MZrq8IT0,Low engagement
H_GcX75yK6M,High engagement
HLWAhEmv814,High engagement
ijDZ6Noap9E,High engagement
3GkE43rmh7k,Medium engagement
DH0OWL3f8f8,Low engagement
2caq5WTeL_Y,High engagement
7R4oh7EQado,Low engagement
TrXPxyqk_4M,Low engagement
BreY8cW2TIo,High engagement
MG0eKTvWPpU,Medium engagement
Rq9xtRabM20,Medium engagement
e2eertgaUGw,Low engagement
-3F4au3vlt4,Medium engagement
tDnVC01fV7k,High engagement
rhPMxT4m5CE,High engagement
ATxUv8VsVaw,Medium engagement
HD8LmDzj6Ag,Low engagement
Wu1pCHpU-dY,High engagement
iCKKedV2BTk,Medium engagement
Xpr8IGH4bQw,Medium engagement
JkwdQiEEFU4,Medium engagement
Ncwrvs7IgqQ,Medium engagement
iRs1lEWYnuw,Medium engagement
rtOdoF6QtDM,Low engagement
RorZuZt0rPc,Medium engagement
2rKNqwdS4xA,High engagement
fCa1wGoFAn8,Low engagement
4_JCnPZU6gc,Medium engagement
8K6Qz8vuvWc,Low engagement
CgdlpmfYgHI,High engagement
GVqe8-ozcRM,Medium engagement
pDEZNMGNzwI,High engagement
SsSOkL0Ukcw,High engagement
PCkqfzwaYHA,High engagement
B4OF5RRlFag,Medium engagement
JunzjfdUVx4,High engagement
78uRq9DW6Eo,Medium engagement
ywnDdrFAXmA,Medium engagement
6iRaK4PaQOc,Low engagement
KA43MaocHtw,Low engagement
tSyagj38pl4,High engagement
8luODGaQX8U,Low engagement
F-sy8cvhZQg,High engagement
QiYl-PNZ9VA,Medium engagement
_iZBMvwLP4s,Low engagement
nRFRkThVSCE,Low engagement
9YjhYj2g0gI,High engagement
aLDDq7HGlEU,Medium engagement
xEKaPpAyKN8,Medium engagement
2QkdLx5j9hg,High engagement
feu9Q_QTfYw,Low engagement
KS1jifiXhqI,Low engagement
bM03yCjCo-4,Medium engagement
7GJtw7ZDpn4,Low engagement
Wvm8navZKVQ,High engagement
CXDGyHKpu44,Medium engagement
gXiXbfEcdHg,Medium engagement
ngLoivv-lXA,Low engagement
Cm7ZD0xpN10,Medium engagement
KKi-dYsWTrQ,High engagement
VZDHh9HnTtk,Low engagement
YA9Bb7KOghY,Low engagement
hOSHNPYKZtM,Medium engagement
6OJ6vGFegNY,Medium engagement
DJ43FbhCd8Q,Low engagement
kwtBeW9zywg,High engagement
csgk9-T-634,Low engagement
gNkGWYMQrj4,Medium engagement
MM53Ao8nIls,Medium engagement
5LO-Tmh2pnE,High engagement
wfSHvtscPLU,Medium engagement
IbIambZXiGs,Low engagement
Kn3egRTarco,Low engagement
DIDFnbPKE80,Low engagement
O6xm_VYtSHs,Low engagement
TdeAGHba3QA,Medium engagement
5r3iW1QAHy8,High engagement
4l7vM-tWr7I,Low engagement
08xesAkztMM,Medium engagement
GakPuNZbLsM,Low engagement
jwAJqTlz-GI,Low engagement
DiENettl7sg,Low engagement
c0Pr7rJga7k,Low engagement
7LpHvI0VLUw,Low engagement
w_I8lU0_Usw,Low engagement
VL52xSUM6Y8,High engagement
4fZLGZRBp_o,Medium engagement
